Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,Gamma,k,max_depth,max_leaf_nodes,min_sample_leaf,min_sample_split,smoothing,test_score,training_score,version,priority
2023-08-06 23:01:21,242ms,1aa4a98343ad4105ba87b980816167ec,CHILD K = 7,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,7,,,,,,0.9025,0.8979687500000001,,
2023-08-06 23:01:21,237ms,0bb7e89e79d54c01aac9372eaa367ce7,CHILD K = 6,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,6,,,,,,0.898125,0.8962499999999999,,
2023-08-06 23:01:21,297ms,4d9ece2c892240da990dcb9e12ea61a5,CHILD K = 5,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,5,,,,,,0.901875,0.8990625,,
2023-08-06 23:01:20,249ms,dd2a84eee8734686a4f15a2a1528b0c3,CHILD K = 4,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,4,,,,,,0.896875,0.89609375,,
2023-08-06 23:01:20,238ms,f9117cd4d6514bcba209607b3fd89897,CHILD K = 3,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,3,,,,,,0.89,0.89484375,,
2023-08-06 23:01:20,233ms,4a04099db9bf4ae7b44fc2ee9619487c,CHILD K = 2,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,2,,,,,,0.869375,0.87859375,,
2023-08-06 23:01:20,275ms,7050a2ac9bb24afd9c48c6320268a120,CHILD K = 1,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,1,,,,,,0.894375,0.89578125,,
2023-08-06 23:01:20,4.2s,2da9f993cbf94b309cb5794d6adb01cf,K-NEAREST NEIGHBOUR,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,,,,,,,,v1,P1
2023-08-06 23:01:19,0.9s,dfe63034d3044a07b2ecb8de2b712094,CHILD MAX_DEPTH 60,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,60,Unlimited,,,,0.853125,0.8328125,,
2023-08-06 23:01:18,0.9s,488f3715302f42ef9e7afca575ef3064,CHILD MAX_DEPTH 50,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,50,Unlimited,,,,0.853125,0.8328125,,
2023-08-06 23:01:17,0.9s,9f9e2dc381d04bada8b06c2d3a41b1e7,CHILD MAX_DEPTH 40,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,40,Unlimited,,,,0.853125,0.8328125,,
2023-08-06 23:01:16,0.9s,a094e73fafe64b05ab7c536f83f1de7a,CHILD MAX_DEPTH 30,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,30,Unlimited,,,,0.853125,0.8328125,,
2023-08-06 23:01:15,0.9s,08d0a38ed780471b92db6334b4a361f1,CHILD MAX_DEPTH 20,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,,,,0.853125,0.8334374999999999,,
2023-08-06 23:01:15,0.8s,993ed974e9d94cdabe8ab1b996cd6f1b,CHILD MAX_DEPTH 10,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,10,Unlimited,,,,0.831875,0.81859375,,
2023-08-06 23:01:14,438ms,cf82cb252a8e4d94841a33a1bd5acb8d,CHILD MAX_DEPTH 5,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,5,Unlimited,,,,0.61125,0.6151562500000001,,
2023-08-06 23:01:14,5.6s,bccdb30176204c4c9092f4868acaf0b5,DECISION TREE,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,,,,,,,,v1,P1
